CURVE,X,Y
1635,260,147.2
1635,270,152.8
1635,280,158.5
1635,290,164.1
1635,299,169.2
1563,0,0.6
1563,1,0.6
1563,10,5.7
1563,20,11.3
1563,30,17
1563,40,22.6
1563,60,34
1563,70,39.6
1563,80,45.3
1563,90,50.9
1563,110,62.3
1563,120,67.9
1563,130,73.6
1563,140,79.2
1563,160,90.6
1563,170,96.2
1563,180,101.9
1563,190,107.5
1563,210,118.9
1563,220,124.5
1563,230,130.2
1563,240,135.8
1563,260,147.2
1563,270,152.8
1563,280,158.5
1563,290,164.1
1563,299,169.2
1016,0,0.6
1016,1,0.6
1016,10,6.3
1016,20,12.6
1016,30,18.8
1016,70,44
1016,80,50.2
1016,120,75.4
1016,130,81.6
1016,170,106.8
1016,180,113
1016,220,138.2
1016,230,144.4
1016,270,169.6
1016,280,175.8
1016,290,182.1
1016,299,187.8
1282,0,0.6
1282,1,0.6
1282,10,6.3
1282,20,12.6
1282,30,18.8
1282,70,44
1282,80,50.2
1282,120,75.4
1282,130,81.6
1282,170,106.8
1282,180,113
1282,220,138.2
1282,230,144.4
1282,270,169.6
1282,280,175.8
1282,290,182.1
1282,299,187.8
394,0,0.6
394,1,0.6
394,10,6.3
394,20,12.6
394,30,18.8
394,70,44
394,80,50.2
394,120,75.4
394,130,81.6
394,170,106.8
394,180,113
394,220,138.2
394,230,144.4
394,270,169.6
394,280,175.8
394,290,182.1
394,299,187.8
1914,0,0.6
1914,1,0.6
1914,10,6.3
1914,20,12.6
1914,30,18.8
1914,70,44
1914,80,50.2
1914,120,75.4
1914,130,81.6
1914,170,106.8
1914,180,113
1914,220,138.2
1914,230,144.4
1914,270,169.6
1914,280,175.8
1914,290,182.1
1914,299,187.8
1678,0,0.6
1678,1,0.6
1678,10,6.3
1678,20,12.6
1678,30,18.8
1678,70,44
1678,80,50.2
1678,120,75.4
1678,130,81.6
1678,170,106.8
1678,180,113
1678,220,138.2
1678,230,144.4
1678,270,169.6
1678,280,175.8
1678,290,182.1
1678,299,187.8
1419,0,0.6
1419,1,0.6
1419,10,6.3
1419,20,12.6
1419,30,18.8
1419,70,44
1419,80,50.2
1419,120,75.4
1419,130,81.6
1419,170,106.8
1419,180,113
1419,220,138.2
1419,230,144.4
1419,270,169.6
1419,280,175.8
