TRACK,LABEL,METHOD,CURVE
13,feature.Area.og1.CWHvm_HW_FDC_H,,205
13,feature.Area.og1.total,,205
13,feature.Area.og2.CWHvm_HW_FDC_H,,1
13,feature.Area.og2.total,,1
13,feature.Height.managed.CWHvm_HW_FDC_H,,214
13,feature.QMD.managed.CWHvm_HW_FDC_H,,215
13,feature.Seral.CWHvm_HW_FDC_H.immature,,5
13,feature.Seral.CWHvm_HW_FDC_H.mature,,6
13,feature.Seral.CWHvm_HW_FDC_H.overmature,,7
13,feature.Seral.CWHvm_HW_FDC_H.regenerating,,8
13,feature.Seral.CWHvm_HW_FDC_H.young,,9
13,feature.Seral.immature,,5
13,feature.Seral.mature,,6
13,feature.Seral.overmature,,7
13,feature.Seral.regenerating,,8
13,feature.Seral.young,,9
13,feature.SpeciesProp.managed.CW,,21
13,feature.SpeciesProp.managed.FDC,,20
13,feature.SpeciesProp.managed.HW,,11
13,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,181
13,feature.Yield.managed.CW,,216
13,feature.Yield.managed.FDC,,217
13,feature.Yield.managed.HW,,218
13,feature.Yield.managed.Total,,219
14,feature.Area.managed,,2
14,feature.Area.og1.CWHvm_HW_FDC_H,,205
14,feature.Area.og1.total,,205
14,feature.Area.og2.CWHvm_HW_FDC_H,,1
14,feature.Area.og2.total,,1
14,feature.Height.managed.CWHvm_HW_FDC_H,,214
14,feature.QMD.managed.CWHvm_HW_FDC_H,,215
14,feature.SpeciesProp.managed.CW,,231
14,feature.SpeciesProp.managed.FDC,,21
14,feature.SpeciesProp.managed.HW,,231
14,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,232
14,feature.Yield.managed.CW,,233
14,feature.Yield.managed.FDC,,216
14,feature.Yield.managed.HW,,234
14,feature.Yield.managed.Total,,219
15,feature.Area.managed,,2
15,feature.Area.og1.CWHvm_HW_FDC_H,,205
15,feature.Area.og1.total,,205
15,feature.Area.og2.CWHvm_HW_FDC_H,,1
15,feature.Area.og2.total,,1
15,feature.Height.managed.CWHvm_HW_FDC_H,,214
15,feature.QMD.managed.CWHvm_HW_FDC_H,,249
15,feature.SpeciesProp.managed.CW,,231
15,feature.SpeciesProp.managed.FDC,,21
15,feature.SpeciesProp.managed.HW,,231
15,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,250
15,feature.Yield.managed.CW,,251
15,feature.Yield.managed.FDC,,252
15,feature.Yield.managed.HW,,253
15,feature.Yield.managed.Total,,254
16,feature.Area.managed,,2
16,feature.Area.og1.CWHvm_HW_FDC_H,,205
16,feature.Area.og1.total,,205
16,feature.Area.og2.CWHvm_HW_FDC_H,,1
16,feature.Area.og2.total,,1
16,feature.Height.managed.CWHvm_HW_FDC_H,,214
16,feature.QMD.managed.CWHvm_HW_FDC_H,,267
16,feature.SpeciesProp.managed.CW,,231
16,feature.SpeciesProp.managed.FDC,,21
16,feature.SpeciesProp.managed.HW,,231
16,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,250
16,feature.Yield.managed.CW,,268
16,feature.Yield.managed.FDC,,269
16,feature.Yield.managed.HW,,270
16,feature.Yield.managed.Total,,271
17,feature.Area.managed,,2
17,feature.Area.og1.CWHvm_HW_FDC_H,,205
17,feature.Area.og1.total,,205
17,feature.Area.og2.CWHvm_HW_FDC_H,,1
17,feature.Area.og2.total,,1
17,feature.Height.managed.CWHvm_HW_FDC_H,,214
17,feature.QMD.managed.CWHvm_HW_FDC_H,,284
17,feature.SpeciesProp.managed.CW,,231
17,feature.SpeciesProp.managed.FDC,,21
17,feature.SpeciesProp.managed.HW,,231
17,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,250
17,feature.Yield.managed.CW,,285
17,feature.Yield.managed.FDC,,286
17,feature.Yield.managed.HW,,287
17,feature.Yield.managed.Total,,288
18,feature.Area.managed,,2
18,feature.Area.og1.CWHvm_HW_FDC_H,,205
18,feature.Area.og1.total,,205
18,feature.Area.og2.CWHvm_HW_FDC_H,,1
18,feature.Area.og2.total,,1
18,feature.Height.managed.CWHvm_HW_FDC_H,,214
18,feature.QMD.managed.CWHvm_HW_FDC_H,,300
18,feature.SpeciesProp.managed.CW,,231
18,feature.SpeciesProp.managed.FDC,,21
18,feature.SpeciesProp.managed.HW,,231
18,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,250
18,feature.Yield.managed.CW,,301
18,feature.Yield.managed.FDC,,302
18,feature.Yield.managed.HW,,303
18,feature.Yield.managed.Total,,304
