TRACK,STRATA
92,1.0 x 0+treatment()+AU(985502004)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.323276472158959)
93,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.323276472158959)
94,1.0 x 0+treatment()+AU(985501001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.118241893782031)
95,1.0 x 0+treatment()+AU(985501001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.118241893782031)
96,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.059011950135026)
97,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.059011950135026)
98,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.059011950135026)
99,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.97270876174974)
100,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.97270876174974)
101,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.97270876174974)
102,1.0 x 0+treatment()+AU(985502008)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(1.0)
103,1.0 x 0+treatment()+AU(985503000)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.035)
104,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.035)
105,1.0 x 0+treatment()+AU(985503000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.378050340492666)
106,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.378050340492666)
