TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
70,0,0,0,985502003,unmanaged,natural,baseline,0.035
71,0,0,0,985502003,managed,natural,baseline,0.035
72,0,0,0,985502003,managed,planted,cc_pl,0.035
73,0,0,0,985502002,unmanaged,planted,cc_pl,0.035
74,0,0,0,985501000,unmanaged,natural,baseline,0.035
75,0,0,0,985501000,managed,natural,baseline,0.035
76,0,0,0,985501001,unmanaged,planted,cc_pl,0.035
77,0,0,0,985502004,unmanaged,planted,cc_pl,0.078474297399292
78,0,0,0,985502004,managed,planted,cc_pl,0.078474297399292
79,0,0,0,985501001,unmanaged,planted,cc_pl,0.11179494433963
80,0,0,0,985501001,managed,planted,cc_pl,0.11179494433963
81,0,0,0,985502002,unmanaged,natural,baseline,0.523769336687171
82,0,0,0,985502002,managed,natural,baseline,0.523769336687171
83,0,0,0,985502002,managed,planted,cc_pl,0.523769336687171
84,0,0,0,985502002,unmanaged,natural,baseline,0.622292565815335
85,0,0,0,985502002,managed,natural,baseline,0.622292565815335
86,0,0,0,985502002,managed,planted,cc_pl,0.622292565815335
87,0,0,0,985502004,unmanaged,planted,cc_pl,0.669361150172804
88,0,0,0,985502004,managed,planted,cc_pl,0.669361150172804
89,0,0,0,985502002,unmanaged,natural,baseline,0.59882051002807
90,0,0,0,985502002,managed,natural,baseline,0.59882051002807
91,0,0,0,985502002,managed,planted,cc_pl,0.59882051002807
92,0,0,0,985502004,unmanaged,planted,cc_pl,0.323276472158959
