CURVE,X,Y
1877,110,168.1
1877,120,181.4
1877,130,193.6
1877,140,205
1625,79,0
1625,80,120.8
1625,90,137.7
1625,100,153.8
1625,110,168.1
1625,120,181.4
1625,130,193.6
1625,140,205
462,79,0
462,80,120.8
462,90,137.7
462,100,153.8
462,110,168.1
462,120,181.4
462,130,193.6
462,140,205
415,79,0
415,80,120.8
415,90,137.7
415,100,153.8
415,110,168.1
415,120,181.4
415,130,193.6
415,140,205
1927,79,0
1927,80,120.8
1927,90,137.7
1927,100,153.8
1927,110,168.1
1927,120,181.4
1927,130,193.6
1927,140,205
326,79,0
326,80,120.8
326,90,137.7
326,100,153.8
326,110,168.1
326,120,181.4
326,130,193.6
326,140,205
1864,79,0
1864,80,116.2
1864,90,132.7
1864,100,147.6
1864,110,161.3
1864,120,174.1
1864,130,185.7
292,79,0
292,80,116.2
292,90,132.7
292,100,147.6
292,110,161.3
292,120,174.1
292,130,185.7
532,79,0
532,80,75.6
532,90,86.2
532,100,95.9
532,110,104.8
532,120,113.2
532,130,120.7
2076,79,0
2076,80,75.6
2076,90,86.2
2076,100,95.9
2076,110,104.8
2076,120,113.2
2076,130,120.7
1000,79,0
1000,80,75.6
1000,90,86.2
1000,100,95.9
1000,110,104.8
1000,120,113.2
1000,130,120.7
1718,79,0
1718,80,75.6
1718,90,86.2
1718,100,96.3
1718,110,105.3
1718,120,113.6
1718,130,121.3
1718,140,128.4
1700,79,0
1700,80,75.6
1700,90,86.2
1700,100,96.3
1700,110,105.3
1700,120,113.6
1700,130,121.3
1700,140,128.4
1115,79,0
1115,80,75.6
1115,90,86.2
1115,100,96.3
1115,110,105.3
1115,120,113.6
1115,130,121.3
1115,140,128.4
1659,79,0
1659,80,75.6
1659,90,86.2
1659,100,95.9
1659,110,104.8
1659,120,113.2
1659,130,120.7
281,79,0
281,80,75.6
281,90,86.2
281,100,95.9
281,110,104.8
281,120,113.2
281,130,120.7
1346,79,0
1346,80,60.4
1346,90,68.8
1346,100,76.9
1346,110,84
1346,120,90.7
1346,130,96.8
1346,140,102.5
1081,79,0
1081,80,60.4
1081,90,68.8
1081,100,76.9
1081,110,84
1081,120,90.7
1081,130,96.8
1081,140,102.5
1897,79,0
1897,80,60.4
1897,90,68.8
1897,100,76.9
1897,110,84
1897,120,90.7
1897,130,96.8
1897,140,102.5
1747,79,0
1747,80,60.4
1747,90,68.8
1747,100,76.9
1747,110,84
1747,120,90.7
1747,130,96.8
1747,140,102.5
888,79,0
888,80,60.4
888,90,68.8
888,100,76.9
888,110,84
888,120,90.7
888,130,96.8
888,140,102.5
225,79,0
225,80,60.4
225,90,68.8
225,100,76.9
225,110,84
225,120,90.7
225,130,96.8
225,140,102.5
408,79,0
408,80,138.9
408,90,158.3
408,100,176.8
408,110,193.3
408,120,208.6
408,130,222.7
408,140,235.7
1947,79,0
1947,80,183.6
1947,90,208.2
1947,100,232
1890,79,0
1890,80,138.9
1890,90,158.3
1890,100,176.8
1890,110,193.3
1890,120,208.6
1890,130,222.7
1890,140,235.7
1648,79,0
1648,80,183.6
1648,90,208.2
1648,100,232
1725,79,0
1725,80,353
1725,90,402.4
1725,100,449.6
1725,110,491.2
1725,120,530.2
1725,130,565.9
1725,140,599.1
1639,79,0
1639,80,211.1
1639,90,239.5
1639,100,266.8
728,79,0
728,80,406.9
728,90,464.4
728,100,516.5
728,110,564.5
728,120,609.5
728,130,650
1710,79,0
