AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,MAI,BasalArea000,DBHg000,SPH000,StemCount000,StemCount125,StemCount175
21000,350,1584.2,53.7,,,2135.9,75.1,4.526,88.6,56.7,353.0,353.0,353.0,352.6
21001,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21001,10,0.0,2.9,,,0.0,5.3,0.0,0.1,0.9,674.9,674.9,0.0,0.0
21001,20,0.4,8.7,,,11.9,48.5,0.022,3.4,8.2,638.3,638.3,12.7,0.0
21001,30,57.8,14.2,,,77.3,73.0,1.926,14.2,16.9,624.6,624.6,541.8,262.1
21001,40,149.4,18.9,,,174.9,76.2,3.736,24.6,22.4,620.4,620.4,606.7,520.8
21001,50,240.4,22.8,,,272.9,76.1,4.808,32.8,25.9,616.3,616.3,605.7,558.3
21001,60,334.5,26.1,,,374.1,75.7,5.575,40.0,28.8,609.2,609.2,601.0,561.7
21001,70,424.6,28.9,,,471.7,75.3,6.065,46.2,31.2,600.7,600.7,595.2,558.9
21001,80,505.1,31.3,,,560.6,74.9,6.314,51.3,33.2,590.0,590.0,586.6,554.4
21001,90,577.2,33.4,,,641.8,74.5,6.414,55.4,34.9,576.1,576.1,574.3,547.3
21001,100,641.8,35.3,,,716.5,74.1,6.418,58.8,36.4,559.7,559.7,558.7,537.6
21001,110,696.5,36.9,,,781.8,73.7,6.332,61.5,37.9,543.0,543.0,542.5,526.4
21001,120,748.1,38.3,,,845.0,73.4,6.234,63.8,39.2,527.0,527.0,526.7,513.8
21001,130,793.8,39.6,,,902.4,73.0,6.106,65.7,40.3,512.2,512.2,512.0,501.6
21001,140,834.2,40.7,,,955.4,72.6,5.958,67.3,41.4,497.7,497.7,497.4,489.4
21001,150,869.1,41.8,,,1003.5,72.2,5.794,68.5,42.5,481.2,481.2,481.0,474.8
21001,160,898.2,42.7,,,1045.4,71.8,5.614,69.5,43.5,466.6,466.6,466.5,461.8
21001,170,924.3,43.6,,,1084.3,71.4,5.437,70.3,44.4,453.1,453.1,453.0,449.7
21001,180,947.0,44.3,,,1119.8,71.0,5.261,70.9,45.3,440.0,440.0,440.0,437.7
21001,190,968.5,45.0,,,1154.8,70.6,5.097,71.4,46.1,427.2,427.2,427.2,425.4
21001,200,987.4,45.7,,,1186.9,70.2,4.937,71.8,46.9,415.4,415.4,415.4,414.0
21001,210,1003.9,46.3,,,1216.2,69.8,4.781,72.1,47.7,404.5,404.5,404.5,403.5
21001,220,1018.0,46.8,,,1242.7,69.5,4.627,72.3,48.3,394.6,394.6,394.6,394.0
21001,230,1029.9,47.4,,,1266.9,69.1,4.478,72.5,49.0,385.3,385.3,385.3,385.0
21001,240,1040.1,47.8,,,1290.5,68.7,4.334,72.5,49.6,375.0,375.0,375.0,374.7
21001,250,1048.9,48.3,,,1312.4,68.3,4.196,72.4,50.2,365.4,365.4,365.4,365.1
21001,260,1056.6,48.7,,,1332.8,67.9,4.064,72.3,50.8,356.3,356.3,356.3,356.0
21001,270,1063.6,49.1,,,1352.5,67.5,3.939,72.2,51.4,347.8,347.8,347.8,347.6
21001,280,1070.1,49.5,,,1371.4,67.1,3.822,72.1,51.9,340.0,340.0,340.0,339.8
21001,290,1075.7,49.8,,,1389.1,66.7,3.709,72.0,52.4,332.5,332.5,332.5,332.3
21001,300,1080.5,50.1,,,1405.8,66.3,3.602,71.9,52.9,325.4,325.4,325.4,325.3
21001,310,1084.4,50.4,,,1421.7,65.9,3.498,71.7,53.4,318.8,318.8,318.8,318.6
21001,320,1087.4,50.7,,,1436.9,65.6,3.398,71.4,53.8,312.8,312.8,312.8,312.6
21001,330,1089.8,51.0,,,1451.3,65.2,3.302,71.2,54.2,307.1,307.1,307.1,306.9
21001,340,1091.1,51.2,,,1464.7,64.8,3.209,70.9,54.6,301.5,301.5,301.5,301.3
21001,350,1091.8,51.5,,,1477.3,64.4,3.12,70.6,55.0,296.0,296.0,296.0,295.9
21003,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21003,10,0.0,2.2,,,0.0,2.1,0.0,0.0,0.3,643.1,643.1,0.0,0.0
21003,20,0.0,5.3,,,1.1,13.6,0.0,0.5,3.0,626.2,626.2,0.0,0.0
21003,30,0.8,8.8,,,11.4,37.9,0.028,3.2,8.2,612.6,612.6,20.7,0.0
