BLOCK,DELTA,AGE,TYPE,TREATMENT
137,271,101,MANAGED,CC
138,63,120,MANAGED,CC
138,180,117,MANAGED,CC
138,290,110,MANAGED,CC
139,70,117,MANAGED,CC
139,190,120,MANAGED,CC
139,290,100,MANAGED,CC
140,211,264,MANAGED,CC
141,80,137,MANAGED,CC
141,190,110,MANAGED,CC
141,290,100,MANAGED,CC
142,21,254,MANAGED,CC
142,150,129,MANAGED,CC
142,280,130,MANAGED,CC
144,61,418,MANAGED,CC
144,180,119,MANAGED,CC
144,300,120,MANAGED,CC
145,71,178,MANAGED,CC
145,190,119,MANAGED,CC
145,290,100,MANAGED,CC
146,70,127,MANAGED,CC
146,197,127,MANAGED,CC
146,298,101,MANAGED,CC
147,80,137,MANAGED,CC
147,184,104,MANAGED,CC
148,91,138,MANAGED,CC
148,180,89,MANAGED,CC
148,260,80,MANAGED,CC
149,40,87,MANAGED,CC
149,154,114,MANAGED,CC
149,251,97,MANAGED,CC
150,20,107,MANAGED,CC
150,150,130,MANAGED,CC
150,290,140,MANAGED,CC
151,23,70,MANAGED,CC
151,110,87,MANAGED,CC
151,190,80,MANAGED,CC
151,280,90,MANAGED,CC
152,151,198,MANAGED,CC
152,290,139,MANAGED,CC
153,11,138,MANAGED,CC
153,120,109,MANAGED,CC
153,210,90,MANAGED,CC
154,101,168,MANAGED,CC
155,3,130,MANAGED,CC
155,130,127,MANAGED,CC
155,250,120,MANAGED,CC
157,21,378,MANAGED,CC
157,140,119,MANAGED,CC
157,250,110,MANAGED,CC
158,11,368,MANAGED,CC
158,140,129,MANAGED,CC
158,250,110,MANAGED,CC
159,25,132,MANAGED,CC
159,135,110,MANAGED,CC
159,230,95,MANAGED,CC
160,13,290,MANAGED,CC
160,250,237,MANAGED,CC
161,1,128,MANAGED,CC
161,110,109,MANAGED,CC
161,250,140,MANAGED,CC
162,20,79,MANAGED,CC
162,161,141,MANAGED,CC
162,250,89,MANAGED,CC
163,141,198,MANAGED,CC
163,250,109,MANAGED,CC
164,10,117,MANAGED,CC
164,120,110,MANAGED,CC
164,220,100,MANAGED,CC
165,1,128,MANAGED,CC
165,120,119,MANAGED,CC
165,210,90,MANAGED,CC
166,60,107,MANAGED,CC
166,220,160,MANAGED,CC
167,60,117,MANAGED,CC
167,156,96,MANAGED,CC
168,11,118,MANAGED,CC
168,100,89,MANAGED,CC
168,221,121,MANAGED,CC
169,39,96,MANAGED,CC
169,130,91,MANAGED,CC
169,230,100,MANAGED,CC
170,80,183,MANAGED,CC
170,261,181,MANAGED,CC
171,1,308,MANAGED,CC
171,140,139,MANAGED,CC
171,250,110,MANAGED,CC
172,31,278,MANAGED,CC
172,150,119,MANAGED,CC
172,300,150,MANAGED,CC
173,81,258,MANAGED,CC
173,210,129,MANAGED,CC
173,300,90,MANAGED,CC
174,71,378,MANAGED,CC
174,270,199,MANAGED,CC
175,91,148,MANAGED,CC
175,180,89,MANAGED,CC
175,270,90,MANAGED,CC
176,9,136,MANAGED,CC
176,99,90,MANAGED,CC
176,191,92,MANAGED,CC
176,281,90,MANAGED,CC
177,11,138,MANAGED,CC
177,120,109,MANAGED,CC
177,230,110,MANAGED,CC
178,81,138,MANAGED,CC
178,210,129,MANAGED,CC
179,21,328,MANAGED,CC
179,150,129,MANAGED,CC
179,280,130,MANAGED,CC
180,93,140,MANAGED,CC
180,261,168,MANAGED,CC
181,37,94,MANAGED,CC
181,121,84,MANAGED,CC
181,210,89,MANAGED,CC
182,61,188,MANAGED,CC
182,251,190,MANAGED,CC
183,54,101,MANAGED,CC
183,211,157,MANAGED,CC
184,41,98,MANAGED,CC
184,130,89,MANAGED,CC
184,220,90,MANAGED,CC
185,80,117,MANAGED,CC
185,200,120,MANAGED,CC
185,300,100,MANAGED,CC
186,21,298,MANAGED,CC
186,150,129,MANAGED,CC
186,280,130,MANAGED,CC
187,71,148,MANAGED,CC
187,200,129,MANAGED,CC
187,280,80,MANAGED,CC
188,181,228,MANAGED,CC
188,281,100,MANAGED,CC
189,24,71,MANAGED,CC
189,110,86,MANAGED,CC
189,200,90,MANAGED,CC
189,280,80,MANAGED,CC
190,61,108,MANAGED,CC
190,180,119,MANAGED,CC
190,300,120,MANAGED,CC
191,23,80,MANAGED,CC
191,110,87,MANAGED,CC
191,190,80,MANAGED,CC
191,280,90,MANAGED,CC
192,221,278,MANAGED,CC
193,141,198,MANAGED,CC
193,251,110,MANAGED,CC
194,71,378,MANAGED,CC
194,230,159,MANAGED,CC
195,21,378,MANAGED,CC
195,180,159,MANAGED,CC
195,300,120,MANAGED,CC
196,20,87,MANAGED,CC
196,121,101,MANAGED,CC
196,211,90,MANAGED,CC
197,10,137,MANAGED,CC
197,121,111,MANAGED,CC
197,241,120,MANAGED,CC
198,64,111,MANAGED,CC
198,180,116,MANAGED,CC
198,290,110,MANAGED,CC
199,80,237,MANAGED,CC
199,261,181,MANAGED,CC
200,71,308,MANAGED,CC
200,190,119,MANAGED,CC
200,300,110,MANAGED,CC
201,61,368,MANAGED,CC
201,180,119,MANAGED,CC
201,300,120,MANAGED,CC
202,33,90,MANAGED,CC
202,152,119,MANAGED,CC
202,251,99,MANAGED,CC
203,71,148,MANAGED,CC
203,190,119,MANAGED,CC
203,290,100,MANAGED,CC
204,60,117,MANAGED,CC
204,221,161,MANAGED,CC
205,71,178,MANAGED,CC
205,190,119,MANAGED,CC
205,290,100,MANAGED,CC
206,90,197,MANAGED,CC
206,180,90,MANAGED,CC
207,41,98,MANAGED,CC
207,184,143,MANAGED,CC
208,53,100,MANAGED,CC
208,155,102,MANAGED,CC
208,251,96,MANAGED,CC
209,11,318,MANAGED,CC
209,170,159,MANAGED,CC
209,300,130,MANAGED,CC
210,10,137,MANAGED,CC
210,130,120,MANAGED,CC
210,240,110,MANAGED,CC
211,91,218,MANAGED,CC
211,210,119,MANAGED,CC
212,31,108,MANAGED,CC
212,131,100,MANAGED,CC
212,271,140,MANAGED,CC
213,91,148,MANAGED,CC
213,180,89,MANAGED,CC
213,260,80,MANAGED,CC
215,21,298,MANAGED,CC
215,150,129,MANAGED,CC
215,280,130,MANAGED,CC
216,71,178,MANAGED,CC
216,190,119,MANAGED,CC
216,300,110,MANAGED,CC
217,141,198,MANAGED,CC
217,250,109,MANAGED,CC
218,81,208,MANAGED,CC
218,170,89,MANAGED,CC
