CURVE,X,Y
3257,110,840.4
3257,120,906.9
3257,130,968.1
3257,140,1024.9
3228,79,0
3228,80,603.8
3228,90,688.3
3228,100,768.9
3228,110,840.4
3228,120,906.9
3228,130,968.1
3228,140,1024.9
3095,79,0
3095,80,603.8
3095,90,688.3
3095,100,768.9
3095,110,840.4
3095,120,906.9
3095,130,968.1
3095,140,1024.9
1928,79,0
1928,80,603.8
1928,90,688.3
1928,100,768.9
1928,110,840.4
1928,120,906.9
1928,130,968.1
1928,140,1024.9
2361,79,0
2361,80,603.8
2361,90,688.3
2361,100,768.9
2361,110,840.4
2361,120,906.9
2361,130,968.1
2361,140,1024.9
1142,79,0
1142,80,603.8
1142,90,688.3
1142,100,768.9
1142,110,840.4
1142,120,906.9
1142,130,968.1
1142,140,1024.9
528,79,0
528,80,603.8
528,90,688.3
528,100,768.9
528,110,840.4
528,120,906.9
528,130,968.1
528,140,1024.9
3004,79,0
3004,101,0
3004,102,1
1277,79,0
1277,130,0
1277,131,1
502,79,0
502,130,0
502,131,1
682,79,0
682,140,0
682,141,1
343,79,0
343,140,0
343,141,1
681,79,0
681,100,0
681,101,1
681,140,1
681,141,0
501,79,0
501,100,0
501,101,1
501,130,1
501,131,0
3003,79,0
3003,100,0
3003,101,1
3003,102,0
1276,79,0
1276,100,0
1276,101,1
1276,130,1
1276,131,0
342,79,0
342,100,0
342,101,1
342,140,1
342,141,0
339,79,0
339,80,603.8
339,90,688.3
339,100,768.9
339,110,840.4
339,120,906.9
339,130,968.1
339,140,1024.9
1133,79,0
1133,80,422.6
1133,90,481.8
1133,100,538.2
1133,110,588.3
1133,120,634.8
1133,130,677.7
1133,140,717.4
3531,79,0
3531,80,422.6
3531,90,481.8
3531,100,538.2
3531,110,588.3
3531,120,634.8
3531,130,677.7
3531,140,717.4
2360,79,0
2360,80,422.6
2360,90,481.8
2360,100,538.2
2360,110,588.3
2360,120,634.8
2360,130,677.7
2360,140,717.4
1573,79,0
1573,80,422.6
1573,90,481.8
1573,100,538.2
1573,110,588.3
1573,120,634.8
1573,130,677.7
1573,140,717.4
338,79,0
338,80,422.6
338,90,481.8
338,100,538.2
338,110,588.3
338,120,634.8
338,130,677.7
338,140,717.4
3529,79,0
3529,80,120.8
3529,90,137.7
3529,100,153.8
3529,110,168.1
3529,120,181.4
3529,130,193.6
3529,140,205
3226,79,0
3226,80,120.8
3226,90,137.7
3226,100,153.8
3226,110,168.1
3226,120,181.4
3226,130,193.6
3226,140,205
1147,79,0
1147,80,120.8
1147,90,137.7
1147,100,153.8
1147,110,168.1
1147,120,181.4
1147,130,193.6
1147,140,205
3659,79,0
3659,80,120.8
3659,90,137.7
3659,100,153.8
3659,110,168.1
3659,120,181.4
3659,130,193.6
3659,140,205
535,79,0
535,80,120.8
535,90,137.7
535,100,153.8
535,110,168.1
535,120,181.4
535,130,193.6
535,140,205
336,79,0
336,80,120.8
336,90,137.7
336,100,153.8
336,110,168.1
336,120,181.4
336,130,193.6
336,140,205
2192,85,0
2192,86,1
2192,87,0
313,85,0
313,86,1
313,87,0
1230,75,0
1230,76,1
1230,77,0
239,75,0
239,76,1
239,77,0
110,89,0
1010,89,0
1010,90,0.1
2702,89,0
2702,90,0.1
1189,89,0
1189,90,0.15
3403,89,0
3403,90,0.15
1872,89,0
1872,90,0.19
1000,89,0
1000,90,0.19
1009,89,0
1009,90,0.2
611,89,0
611,90,0.19
199,89,0
199,90,0.15
112,89,0
112,90,0.1
2701,89,0
2701,90,0.2
1191,89,0
1191,90,0.25
1190,89,0
1190,90,0.6
913,89,0
913,90,0.3
201,89,0
201,90,0.25
3404,89,0
3404,90,0.6
1011,89,0
1011,90,0.7
619,89,0
619,90,0.7
200,89,0
200,90,0.6
1001,89,0
1001,90,0.81
2373,89,0
2373,90,0.81
1002,89,0
1002,90,1
997,89,0
997,90,1
997,110,1
997,111,0
612,89,0
612,90,0.81
113,89,0
113,90,0.7
111,89,0
111,90,0.2
2775,89,0
2775,90,28.6
2775,100,29.8
2775,110,30.9
2775,120,31.9
2775,140,33.7
2775,150,34.7
2775,160,35.5
2636,89,0
2636,90,28.6
2636,100,29.8
2636,110,30.9
2636,120,31.9
2636,140,33.7
2636,150,34.7
2636,160,35.5
3589,89,0
3589,90,29.7
3589,100,30.7
3589,120,32.9
3589,130,33.9
3589,150,35.7
3589,160,36.5
3589,200,39.3
3589,210,39.9
3589,220,40.4
3571,89,0
3571,90,29.7
3571,100,30.7
3571,120,32.9
3571,130,33.9
3571,150,35.7
3571,160,36.5
3571,200,39.3
3571,210,39.9
3571,220,40.4
996,89,0
996,90,29.7
996,100,30.7
996,120,32.9
996,130,33.9
996,150,35.7
996,160,36.5
996,200,39.3
996,210,39.9
996,220,40.4
1871,89,0
1871,90,29.7
1871,100,30.7
1871,120,32.9
1871,130,33.9
1871,150,35.7
1871,160,36.5
1871,200,39.3
1871,210,39.9
1871,220,40.4
2694,89,0
2694,90,29.7
2694,100,30.7
2694,120,32.9
2694,130,33.9
2694,150,35.7
2694,160,36.5
2694,200,39.3
2694,210,39.9
2694,220,40.4
2086,89,0
2086,90,29.7
2086,100,30.7
2086,120,32.9
2086,130,33.9
2086,150,35.7
2086,160,36.5
2086,200,39.3
2086,210,39.9
2086,220,40.4
610,89,0
610,90,29.7
610,100,30.7
610,120,32.9
610,130,33.9
610,150,35.7
610,160,36.5
610,200,39.3
610,210,39.9
610,220,40.4
1186,89,0
1186,90,28.6
1186,100,29.8
1186,110,30.9
1186,120,31.9
1186,140,33.7
1186,150,34.7
1186,160,35.5
912,89,0
912,90,28.6
912,100,29.8
912,110,30.9
912,120,31.9
912,140,33.7
912,150,34.7
912,160,35.5
1955,89,0
1955,90,28.6
1955,100,29.8
1955,110,30.9
1955,120,31.9
1955,140,33.7
1955,150,34.7
1955,160,35.5
196,89,0
196,90,28.6
196,100,29.8
196,110,30.9
196,120,31.9
196,140,33.7
196,150,34.7
196,160,35.5
114,89,0
114,90,1
107,89,0
107,90,1
107,110,1
107,111,0
2653,89,0
2653,90,31.4
2653,100,32.8
2653,110,34
2653,120,35.1
2653,160,39.1
1207,89,0
1207,90,31.4
1207,100,32.8
1207,110,34
1207,120,35.1
1207,160,39.1
1218,89,0
1218,90,33.9
1218,100,35.6
1218,110,37.1
1218,120,38.3
1218,130,39.3
