BLOCK,DELTA,AGE,TYPE,TREATMENT
175,13,70,MANAGED,CC
175,23,10,MANAGED,PCT
175,96,83,MANAGED,CC
175,106,10,MANAGED,PCT
175,180,84,MANAGED,CC
175,190,10,MANAGED,PCT
175,250,70,MANAGED,CC
176,4,131,MANAGED,CC
176,14,10,MANAGED,PCT
176,77,73,MANAGED,CC
176,87,10,MANAGED,PCT
176,153,76,MANAGED,CC
176,163,10,MANAGED,PCT
176,230,77,MANAGED,CC
177,71,198,MANAGED,CC
177,170,99,MANAGED,CC
177,290,120,MANAGED,CC
178,50,107,MANAGED,CC
178,190,140,MANAGED,CC
178,290,100,MANAGED,CC
180,80,127,MANAGED,CC
180,225,145,MANAGED,CC
181,80,137,MANAGED,CC
181,222,142,MANAGED,CC
182,11,138,MANAGED,CC
182,110,99,MANAGED,CC
182,210,100,MANAGED,CC
183,32,79,MANAGED,CC
183,42,10,MANAGED,PCT
183,116,84,MANAGED,CC
183,126,10,MANAGED,PCT
183,194,78,MANAGED,CC
183,204,10,MANAGED,PCT
183,270,76,MANAGED,CC
184,165,222,MANAGED,CC
184,175,10,MANAGED,PCT
184,285,120,MANAGED,CC
185,110,147,MANAGED,CC
185,261,151,MANAGED,CC
188,60,107,MANAGED,CC
188,70,10,MANAGED,PCT
188,155,95,MANAGED,CC
188,165,10,MANAGED,PCT
188,247,92,MANAGED,CC
189,34,81,MANAGED,CC
189,44,10,MANAGED,PCT
189,124,90,MANAGED,CC
189,134,10,MANAGED,PCT
189,216,92,MANAGED,CC
189,226,10,MANAGED,PCT
189,299,83,MANAGED,CC
190,59,106,MANAGED,CC
190,190,131,MANAGED,CC
191,13,70,MANAGED,CC
191,23,10,MANAGED,PCT
191,90,77,MANAGED,CC
191,100,10,MANAGED,PCT
191,176,86,MANAGED,CC
191,186,10,MANAGED,PCT
191,267,91,MANAGED,CC
192,64,121,MANAGED,CC
192,74,10,MANAGED,PCT
192,156,92,MANAGED,CC
192,166,10,MANAGED,PCT
192,240,84,MANAGED,CC
193,82,139,MANAGED,CC
193,92,10,MANAGED,PCT
193,177,95,MANAGED,CC
196,53,120,MANAGED,CC
196,63,10,MANAGED,PCT
196,146,93,MANAGED,CC
196,156,10,MANAGED,PCT
196,238,92,MANAGED,CC
197,4,131,MANAGED,CC
197,14,10,MANAGED,PCT
197,77,73,MANAGED,CC
197,87,10,MANAGED,PCT
197,153,76,MANAGED,CC
197,163,10,MANAGED,PCT
197,230,77,MANAGED,CC
198,60,107,MANAGED,CC
198,160,100,MANAGED,CC
198,280,120,MANAGED,CC
200,9,246,MANAGED,CC
200,129,120,MANAGED,CC
200,240,111,MANAGED,CC
202,27,84,MANAGED,CC
202,37,10,MANAGED,PCT
202,99,72,MANAGED,CC
202,109,10,MANAGED,PCT
202,189,90,MANAGED,CC
202,199,10,MANAGED,PCT
202,270,81,MANAGED,CC
203,3,80,MANAGED,CC
203,130,127,MANAGED,CC
203,240,110,MANAGED,CC
204,100,157,MANAGED,CC
204,275,175,MANAGED,CC
205,1,108,MANAGED,CC
205,130,129,MANAGED,CC
205,240,110,MANAGED,CC
206,12,119,MANAGED,CC
206,22,10,MANAGED,PCT
206,93,81,MANAGED,CC
206,103,10,MANAGED,PCT
206,171,78,MANAGED,CC
206,181,10,MANAGED,PCT
206,260,89,MANAGED,CC
207,42,99,MANAGED,CC
207,52,10,MANAGED,PCT
207,185,143,MANAGED,CC
207,195,10,MANAGED,PCT
207,285,100,MANAGED,CC
208,44,91,MANAGED,CC
208,54,10,MANAGED,PCT
208,133,89,MANAGED,CC
208,143,10,MANAGED,PCT
208,224,91,MANAGED,CC
210,81,208,MANAGED,CC
210,200,119,MANAGED,CC
211,11,138,MANAGED,CC
211,102,91,MANAGED,CC
211,220,118,MANAGED,CC
212,60,137,MANAGED,CC
212,70,10,MANAGED,PCT
212,161,101,MANAGED,CC
212,258,97,MANAGED,CC
213,13,70,MANAGED,CC
213,23,10,MANAGED,PCT
213,96,83,MANAGED,CC
213,106,10,MANAGED,PCT
213,180,84,MANAGED,CC
213,190,10,MANAGED,PCT
213,250,70,MANAGED,CC
217,60,117,MANAGED,CC
217,160,100,MANAGED,CC
217,280,120,MANAGED,CC
218,1,128,MANAGED,CC
218,90,89,MANAGED,CC
218,225,135,MANAGED,CC
